douban_film_id,title,page_number,rank_within_list,douban_rating,douban_votes,friend_rating,friend_rating_count,imdb_id
1478064,人类之子 Children of Men,22,546,7.6,91194,8.0,56,tt0206634
1303150,阿伦人 Man of Aran,22,547,7.7,668,7.7,7,tt0025456
1292764,汉娜姐妹 Hannah and Her Sisters,22,548,8.0,15060,7.9,28,tt0091167
1306449,怒火青春 La Haine,22,549,8.3,23399,8.6,28,tt0113247
1292584,上海小姐 The Lady from Shanghai,22,550,8.0,9362,8.1,29,tt0040525
1299539,悬崖上的野餐 Picnic at Hanging Rock,23,551,7.5,10993,6.8,19,tt0073540
1429055,"我你他她 Je, tu, il, elle",23,552,7.8,2888,7.9,22,tt0071690
1292223,七宗罪 Se7en,23,553,8.8,1020850,8.5,95,tt0114369
1300211,私恋失调 Punch-Drunk Love,23,554,7.8,19922,8.6,57,tt0272338
1298505,火车怪客 Strangers on a Train,23,555,8.1,48426,8.1,41,tt0044079
1293499,青年林肯 Young Mr. Lincoln,23,556,7.4,1663,7.1,7,tt0032155
1294408,音乐之声 The Sound of Music,23,557,9.1,659458,8.4,67,tt0059742
1302279,俄罗斯方舟 Русский ковчег,23,558,7.5,14421,7.9,49,tt0318034
1297602,虎豹小霸王 Butch Cassidy and the Sundance Kid,23,559,8.6,23314,8.9,27,tt0064115
1294782,很可能是魔鬼 Le diable probablement,23,560,7.8,4143,8.2,16,tt0075938
2131459,机器人总动员 WALL·E,23,561,9.3,1431471,9.3,106,tt0910970
1307177,与僵尸同行 I Walked with a Zombie,23,562,7.1,936,8.7,6,tt0036027
1303462,离魂异客 Dead Man,23,563,8.0,24782,7.8,43,tt0112817
1303067,影武者,23,564,9.1,80560,8.8,45,tt0080979
1420042,默文·卡拉 Morvern Callar,23,565,7.6,961,6.8,5,tt0300214
4117025,当我往前走之时偶尔会瞥到一缕美丽之景 As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,23,566,8.5,652,9.3,6,tt0262240
1401595,无粮的土地 Las Hurdes,23,567,8.0,2528,7.6,11,tt0023037
1418834,断背山 Brokeback Mountain,23,568,8.8,758182,8.9,97,tt0388795
1293358,爱情神话 Fellini - Satyricon,23,569,7.7,6516,7.9,17,tt0064940
1299353,婚礼进行曲 The Wedding March,23,570,7.2,122,4.0,1,tt0019558
1293256,富贵逼人来 Being There,23,571,8.1,6806,7.5,12,tt0078841
1292453,疯狂的麦克斯2 Mad Max 2,23,572,7.3,26015,7.5,15,tt0082694
1291876,黄土地,23,573,8.0,41701,7.7,39,tt0087433
4729942,桑比赞加 Sambizanga,23,574,,,,,
1295427,蓝天使 Der blaue Engel,23,575,7.7,3670,7.5,13,tt0020697
1441134,马布斯博士的遗嘱 Das Testament des Dr. Mabuse,24,576,8.3,2144,7.4,7,tt0023563
6433905,大师 The Master,24,577,7.4,21407,7.7,60,tt1560747
1303082,金发女郎的爱情 Lásky jedné plavovlásky,24,578,7.4,1615,7.1,7,tt0059415
1297646,逍遥骑士 Easy Rider,24,579,8.3,27754,8.2,46,tt0064276
1294072,罗拉秘史 Laura,24,580,7.7,4125,8.0,15,tt0037008
1306489,豹族 Cat People,24,581,7.3,1712,8.0,14,tt0034587
1293817,辣手摧花 Shadow of a Doubt,24,582,7.6,31830,8.1,35,tt0036342
1300958,沉默 Tystnaden,24,583,8.2,7952,8.3,19,tt0057611
1303071,朦胧的欲望 Cet obscur objet du désir,24,584,8.1,12958,8.4,30,tt0075824
1292720,阿甘正传 Forrest Gump,24,585,9.5,2347151,8.5,111,tt0109830
1298043,巴顿·芬克 Barton Fink,24,586,8.1,39564,8.5,57,tt0101410
1780560,来自东方 D'Est,24,587,8.1,1641,8.4,17,tt0106642
2368557,富人，穷人 Plácido,24,588,6.8,106,6.0,1,tt0055310
1401588,法外之徒 Bande à part,24,589,8.5,36505,8.7,50,tt0057869
1855271,高于生活 Bigger Than Life,24,590,7.6,1965,7.9,19,tt0049010
1303553,仆人 The Servant,24,591,8.3,4268,9.0,21,tt0057490
1299586,月光光心慌慌 Halloween,24,592,6.8,21769,6.9,30,tt0077651
1292215,天使爱美丽 Le Fabuleux destin d'Amélie Poulain,24,593,8.7,1001623,8.9,99,tt0211915
1303546,路易十四的崛起 La prise de pouvoir par Louis XIV,24,594,7.1,540,8.0,3,tt0060860
1291571,指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring,24,595,9.1,924509,8.6,99,tt0120737
1292523,侏罗纪公园 Jurassic Park,24,596,8.3,340850,8.0,46,tt0107290
1301647,冷血惊魂 Repulsion,24,597,7.7,8788,7.7,23,tt0059646
1432639,故事中的故事 Сказка сказок,24,598,8.7,6791,9.0,12,tt0079986
1301168,卧虎藏龙 臥虎藏龍,24,599,8.4,521626,8.4,97,tt0190332
1297737,窈窕淑男 Tootsie,24,600,8.1,15151,7.9,18,tt0084805
1876327,共生心理分类学：第1幕 Symbiopsychotaxiplasm: Take One,25,601,7.4,422,7.2,5,tt0296881
1291844,终结者2：审判日 Terminator 2: Judgment Day,25,602,8.8,370698,8.9,57,tt0103064
1294244,绅士爱美人 Gentlemen Prefer Blondes,25,603,7.9,11957,8.2,17,tt0045810
1419111,灰色花园 Grey Gardens,25,604,8.2,3576,8.6,13,tt0073076
1781126,十二宫 Zodiac,25,605,7.5,217161,8.1,70,tt0443706
1937459,前进青春 Juventude em Marcha,25,606,7.5,718,8.4,10,tt0460480
2042560,漫长的一天结束了 The Long Day Closes,25,607,7.5,1208,8.0,5,tt0104753
1293484,哈泰利 Hatari!,25,608,7.8,856,8.0,6,tt0056059
25774676,西印度群岛 West Indies,25,609,,,,,
1300352,七次机会 Seven Chances,25,610,8.9,16195,8.7,25,tt0016332
1300055,全金属外壳 Full Metal Jacket,25,611,8.6,148016,8.6,66,tt0093058
1302815,罗马风情画 Roma,25,612,8.2,10392,8.3,40,tt0069191
2028819,"纽约提喻法 Synecdoche, New York",25,613,8.3,24723,8.4,45,tt0383028
1293561,生死狂澜 Deliverance,25,614,7.5,2404,8.7,6,tt0068473
1301798,不法之徒 Down by Law,25,615,8.1,14987,8.0,37,tt0090967
1823255,卢丹的恶魔 The Devils,25,616,7.8,2135,6.0,3,tt0066993
2368633,我的朋友伊万·拉布辛 Мой друг Иван Лапшин,25,617,7.0,163,,0,tt0084345
1462674,无望的人们 Szegénylegények,25,618,7.8,2131,7.6,20,tt0059776
1294848,天意 Providence,25,619,8.0,1129,8.0,7,tt0076574
1291559,新桥恋人 Les amants du Pont-Neuf,25,620,8.2,63415,8.5,72,tt0101318
1295167,影子 Shadows,25,621,7.6,2808,8.0,19,tt0053270
1305611,异教徒 The Wicker Man,25,622,7.9,18159,7.7,23,tt0070917
1439463,爱德华·蒙克 Edvard Munch,25,623,8.5,2314,9.2,12,tt0074462
1298894,夜阑人未静 The Asphalt Jungle,25,624,7.8,2878,8.0,9,tt0042208
1293599,三女性 3 Women,25,625,8.1,5042,8.8,20,tt0075612
1302490,布杜落水遇救记 Boudu sauvé des eaux,26,626,7.6,1178,8.0,5,tt0022718
1775245,天蝎星升起 Scorpio Rising,26,627,7.4,1732,7.3,14,tt0058555
1401915,红圈 Le cercle rouge,26,628,8.3,13240,8.0,36,tt0065531
1855300,锦绣华堂 The Ladies Man,26,629,7.0,375,4.0,4,tt0055069
1298230,粉红色的火烈鸟 Pink Flamingos,26,630,5.6,15574,7.1,9,tt0069089
1434175,杰森的画像 Portrait of Jason,26,631,7.6,235,6.7,3,tt0062144
1316524,"阿尔法城 Alphaville, une étrange aventure de Lemmy Caution",26,632,7.8,11343,8.1,30,tt0058898
1305223,别回头 Dont Look Back,26,633,8.5,2507,8.8,13,tt0061589
1294642,黄金马车 Le carrosse d'or,26,634,6.9,711,7.1,7,tt0044487
1293824,蝴蝶梦 Rebecca,26,635,8.3,105394,8.0,50,tt0032976
1301151,豺狼时刻 Vargtimmen,26,636,8.0,4408,8.2,17,tt0063759
1300027,比利小子 Pat Garrett and Billy the Kid,26,637,7.8,1890,8.3,7,tt0070518
1304920,切腹,26,638,9.3,53770,9.6,61,tt0056058
1417947,金盔 Casque d'or,26,639,7.3,1277,7.1,9,tt0043386
1306031,天才一族 The Royal Tenenbaums,26,640,8.1,52292,7.8,44,tt0265666
1292722,泰坦尼克号 Titanic,26,641,9.5,2395798,8.9,111,tt0120338
1851857,蝙蝠侠：黑暗骑士 The Dark Knight,26,642,9.2,1152683,9.0,111,tt0468569
1304762,寻找西瓜女 The Watermelon Woman,26,643,7.9,2063,8.0,6,tt0118125
1302642,花火 HANA-BI,26,644,8.6,134532,8.6,73,tt0119250
1298951,夜逃鸳鸯 They Live by Night,26,645,7.4,1188,8.0,14,tt0040872
1296929,科学怪人 Frankenstein,26,646,7.5,10065,7.9,18,tt0021884
1295742,洛奇 Rocky,26,647,8.8,73930,8.3,30,tt0075148
1306016,"玩家马布斯博士 Dr. Mabuse, der Spieler",26,648,8.6,2311,8.0,7,tt0013086
1292792,我自己的爱达荷 My Own Private Idaho,26,649,8.3,71790,8.4,46,tt0102494
1299608,疤面人 Scarface,26,650,8.1,5399,8.9,19,tt0023427
1294041,惊天动地抢人头 Bring Me the Head of Alfredo Garcia,27,651,7.1,1011,6.9,7,tt0071249
1302186,罢工 Стачка,27,652,8.2,2197,7.4,14,tt0015361
1297797,篮球梦 Hoop Dreams,27,653,8.6,1938,8.4,5,tt0110057
1303560,纳萨林 Nazarín,27,654,7.7,1185,6.7,6,tt0051983
1322674,捕鼠者 Ratcatcher,27,655,8.2,7418,7.8,13,tt0171685
1295835,小姐弟荒原历险 Walkabout,27,656,7.7,2729,7.3,9,tt0067959
1293840,满洲候选人 The Manchurian Candidate,27,657,7.2,3129,7.0,8,tt0056218
1300779,浪荡儿 I vitelloni,27,658,8.3,11690,8.3,47,tt0046521
