douban_film_id,title,page_number,rank_within_list
1302808,成功的滋味 Sweet Smell of Success,12,278
1300555,回到未来 Back to the Future,12,279
1293329,残菊物语 殘菊物語,12,280
1299166,街角的商店 The Shop Around the Corner,12,281
1420225,沼泽 La Ciénaga,12,282
1292969,光荣之路 Paths of Glory,12,283
1304862,不散,12,284
1300613,土拨鼠之日 Groundhog Day,12,285
1294827,蜘蛛巢城 蜘蛛巣城,12,286
1305896,复仇之日 Vredens dag,12,287
1300964,我略知她一二 2 ou 3 choses que je sais d'elle,12,288
1401368,潘多拉的魔盒 Die Büchse der Pandora,12,289
1303255,上升 Восхождение,12,290
1294531,牺牲 Offret,12,291
1466419,影子部队 L'armée des ombres,12,292
1303345,深锁春光一院愁 All That Heaven Allows,12,293
1298347,印度之歌 India Song,12,294
1292047,蓝白红三部曲之红 Trois couleurs: Rouge,12,295
1291937,关于我母亲的一切 Todo sobre mi madre,12,296
1293352,夜长梦多 The Big Sleep,12,297
1296282,歌厅 Cabaret,12,298
1292679,春光乍泄 春光乍洩,12,299
1293566,不可饶恕 Unforgiven,12,300
1299330,爵士春秋 All That Jazz,13,301
1305878,"远方的声音 Distant Voices, Still Lives",13,302
1293511,穷街陋巷 Mean Streets,13,303
1298870,浮云 浮雲,13,304
1791033,痛苦的大地 Terra em Transe,13,305
1305790,于洛先生的假期 Les vacances de Monsieur Hulot,13,306
1440613,音乐室 জলসাঘর,13,307
1297874,马耳他之鹰 The Maltese Falcon,13,308
1468782,孤独的妻子 চারুলতা,13,309
1295720,大树之歌 অপুর সংসার,13,310
4086853,忧郁症 Melancholia,13,311
1292644,面孔 Faces,13,312
1292208,上帝之城 Cidade de Deus,13,313
1416898,鲸鱼马戏团 Werckmeister harmóniák,13,314
1432669,我是古巴 Я - Куба,13,315
1292735,北方的纳努克 Nanook of the North,13,316
5964718,一次别离 جدایی نادر از سیمین,13,317
1294047,凡尔杜先生 Monsieur Verdoux,13,318
1295276,录影带谋杀案 Videodrome,13,319
1437023,公路之王 Im Lauf der Zeit,13,320
1292790,感官世界 愛のコリーダ,13,321
1295942,畸形人 Freaks,13,322
1300660,柏林亚历山大广场 Berlin Alexanderplatz,13,323
1295913,美女与野兽 La belle et la bête,13,324
1292840,费城故事 The Philadelphia Story,13,325
1296528,星球大战2：帝国反击战 Star Wars: Episode V - The Empire Strikes Back,14,326
1293663,天国与地狱 天国と地獄,14,327
1293401,劳拉·蒙特斯 Lola Montès,14,328
1301648,柳媚花娇 Les Demoiselles de Rochefort,14,329
1303095,夫君 Husbands,14,330
1295943,夜夜春宵 A Canterbury Tale,14,331
1293399,莫扎特传 Amadeus,14,332
1294584,雌雄大盗 Bonnie and Clyde,14,333
1293270,寻子遇仙记 The Kid,14,334
1861216,诗人悲歌 Pyaasa,14,335
1292206,地下 Подземље,14,336
1300572,童年往事,14,337
1298420,残花泪 Broken Blossoms or The Yellow Man and the Girl,14,338
1292772,喜剧之王 The King of Comedy,14,339
1299932,恐惧的代价 Le Salaire de la peur,14,340
1297628,午夜牛郎 Midnight Cowboy,14,341
1306490,侠女 俠女,14,342
1302077,雁南飞 Летят журавли,14,343
1296338,周末 Week End,14,344
1303569,死吻 Kiss Me Deadly,14,345
1291877,两生花 La Double vie de Véronique,14,346
1295225,西区故事 West Side Story,14,347
1460605,云遮星 মেঘে ঢাকা তারা,14,348
3592854,疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road,14,349
1293374,热天午后 Dog Day Afternoon,14,350
26688480,逃出绝命镇 Get Out,15,351
1297996,活死人之夜 Night of the Living Dead,15,352
1302941,戏梦人生 戲夢人生,15,353
1401598,他 El,15,354
1477852,"出局：禁止接触 Out 1, noli me tangere",15,355
1298026,最后一场电影 The Last Picture Show,15,356
1293322,青山翠谷 How Green Was My Valley,15,357
1292750,魂断情天 Some Came Running,15,358
1306266,木屐树 L'albero degli zoccoli,15,359
1295684,一夜风流 It Happened One Night,15,360
1302017,明日之歌 Make Way for Tomorrow,15,361
1300353,巴黎最后的探戈 Ultimo tango a Parigi,15,362
1401529,榅桲树阳光 El sol del membrillo,15,363
1295905,天堂之门 Heaven's Gate,15,364
1293844,莫里埃尔 Muriel ou Le temps d'un retour,15,365
1298442,艳贼 Marnie,15,366
1303465,橄榄树下的情人 زير درختان زيتون,15,367
1293544,沉默的羔羊 The Silence of the Lambs,15,368
1293320,金玉盟 An Affair to Remember,15,369
1292515,用心棒,15,370
1292812,哈洛与慕德 Harold and Maude,15,371
1297130,定理 Teorema,15,372
1299665,偷窥狂 Peeping Tom,15,373
1297105,陆上行舟 Fitzcarraldo,15,374
1303459,妖夜慌踪 Lost Highway,15,375
1303723,天堂陌影 Stranger Than Paradise,16,376
1303302,苦雨恋春风 Written on the Wind,16,377
1299360,我出生了，但…… 大人の見る絵本 生れてはみたけれど,16,378
1294382,火山边缘之恋 Stromboli,16,379
1868546,双车道柏油路 Two-lane Blacktop,16,380
2464346,白丝带 Das weiße Band – Eine deutsche Kindergeschichte,16,381
3285632,都灵之马 A torinói ló,16,382
1308422,安然无恙 Safe,16,383
1293792,异形2 Aliens,16,384
1293200,象人 The Elephant Man,16,385
1438613,谋杀地下老板 The Killing of a Chinese Bookie,16,386
1293095,摇滚万万岁 This Is Spinal Tap,16,387
1291556,乡愁 Ностальгия,16,388
3749974,皮囊之下 Under the Skin,16,389
1301655,特丽丝塔娜 Tristana,16,390
2245725,"燃火的时刻 La hora de los hornos Notas y testimonios sobre el neocolonialismo, la violencia y la liberación",16,391
1400829,我的舅舅 Mon oncle,16,392
1298759,狗镇 Dogville,16,393
1301895,奥兰多 Orlando,16,394
1292768,首演之夜 Opening Night,16,395
1925767,界限 Limite,16,396
1300323,十三个月亮 In einem Jahr mit 13 Monden,16,397
1293299,日以作夜 La nuit américaine,16,398
1303580,"圣弗朗西斯之花 Francesco, giullare di Dio",16,399
1295812,砂之女 砂の女,16,400
1300956,一九零零 Novecento,17,401
1296388,细细的蓝线 The Thin Blue Line,17,402
3047620,无头的女人 La mujer sin cabeza,17,403
1308333,我走我路 I Know Where I'm Going!,17,404
1296332,阴风阵阵 Suspiria,17,405
1292536,罪与错 Crimes and Misdemeanors,17,406
1297399,怪房客 Le locataire,17,407
1300306,一个国家的诞生 The Birth of a Nation,17,408
1436764,奥菲斯 Orphée,17,409
1297735,没有面孔的眼睛 Les yeux sans visage,17,410
1303578,米兰的奇迹 Miracolo a Milano,17,411
1291835,迷失东京 Lost in Translation,17,412
1295578,活死人黎明 Dawn of the Dead,17,413
1293715,总统班底 All the President's Men,17,414
1297756,白雪公主和七个小矮人 Snow White and the Seven Dwarfs,17,415
1294005,天涯何处觅知音 Splendor in the Grass,17,416
1310179,幻想曲 Fantasia,17,417
1297918,春闺风月 The Awful Truth,17,418
1292981,婚姻生活 Scener ur ett äktenskap,17,419
1848300,欢愉 Le plaisir,17,420
1300464,雀西女郎 Chelsea Girls,17,421
1293321,一九五一年的欧洲 Europa '51,17,422
